pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
GJ 1214 b,0.43133919555291245,0.39090423151127596,0.10098575544000603,0.10962219448195042,0.08993630573248407,0.45002982601317887
NGTS-10 b,0.7549340633201489,0.7916579025916229,0.06739843704598235,0.30756884824089875,0.29044585987261146,0.6435186116086595
HD 3167 b,0.32505916105401456,0.37878152161680484,0.07781264947690703,0.4163503426489695,0.3778343949044585,0.6727697941702216
HD 3167 c,0.43591630016243316,0.4116088903238629,0.23747487591250727,0.10783889129493286,0.3778343949044585,0.6727697941702216
COCONUTS-2 b,0.7385113515837852,0.8837710685766518,1.0000000000000002,0.07879652510636129,0.13834394904458597,0.5486660822999665
HD 3167 b,0.3316820744829625,0.3628666435661229,0.07781372791387196,0.420935979415586,0.37961783439490443,0.6796046958037658
HD 3167 c,0.4488455986071647,0.4329314376628224,0.23747530358836522,0.11216977046340405,0.37961783439490443,0.6796046958037658
HD 3167 b,0.3368987440178327,0.3671294404766473,0.07781308511424286,0.42017170662114994,0.37464968152866235,0.6812692751714252
KOI-1257 b,0.705334912961739,0.7572485678892737,0.2869813191935578,0.09841286016355437,0.4076433121019108,0.721758823000766
Kepler-109 c,0.42923727157344455,0.41025418155488536,0.22163579582620363,0.18706850431814126,0.46242038216560505,0.7549414179184191
EPIC 220674823 b,0.3595195796892503,0.408449864832118,0.05372037004139596,0.5070440475887193,0.4045859872611464,0.7011570571591671
CoRoT-23 b,0.7274081148273052,0.8139266453187912,0.13962864468039654,0.39112934043257835,0.4560509554140127,0.7790830074269225
Kepler-391 b,0.41758458471272675,0.8321816920976041,0.17280589728882145,0.20515629378646216,0.34624203821656047,0.8731953382285268
KOI-3503 c,0.2724641442521119,0.43039210049323445,0.24046108803805083,0.14299543983899315,0.4689171974522292,0.7387476767632543
NGTS-34 b,0.4932647617421585,0.48307875253786725,0.2545723632831424,0.12720046875398056,0.48585987261146485,0.752589522456909
TOI-1728 b,0.5581908771048067,0.5121866473602669,0.13780516952336666,0.16363080528876772,0.21146496815286625,0.6256818450527701
HD 15337 c,0.4085859569431385,0.4093036655242539,0.21181543014572307,0.13178610552059716,0.3573248407643312,0.6767917966514314
