pca1,pca2,cluster,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
-3.6440683050864298,-1.7319318602162295,1,GJ 1214 b,0.9850702472689807,1.8794650496471605,0.4576732339098214,555.0,3026.0,-1.5558971455060706
0.585641002996988,-1.4489578530755804,0,NGTS-10 b,2.6031965939815764,6.532550367857405,-0.26540616636342423,1332.0,4600.0,-0.36096986822161325
-0.631483873301398,-2.0013377053090826,1,HD 3167 b,0.45362014999521155,1.7387102481382397,-0.041205401344592274,1759.0,5286.0,-0.18032355413128162
-1.620462856040447,1.2377500105569226,2,HD 3167 c,1.007957920399979,2.1198634561787513,3.3960581986541256,548.0,5286.0,-0.18032355413128162
-3.135825750230032,11.654639205729234,2,COCONUTS-2 b,2.5210753207721663,7.60206126991192,19.811962646583297,434.0,3406.0,-0.9467499393588635
-0.5959153609496995,-2.000681133505441,1,HD 3167 b,0.48673782823690076,1.5539252025038417,-0.04118218438083539,1777.0,5300.0,-0.13811330212963427
-1.4807388686953542,1.2701331963408424,2,HD 3167 c,1.0726104861291088,2.367436065313662,3.396067405807827,565.0,5300.0,-0.13811330212963427
-0.5848389187201528,-1.994955438039045,1,HD 3167 b,0.5128236264286637,1.6034198401085373,-0.04119602279344297,1774.0,5261.0,-0.12783337150988489
0.08966753162655042,2.5573130074659254,2,KOI-1257 b,2.355177543113216,6.133029211429164,4.461850022144654,511.0,5520.0,0.12221763272424911
-0.5942496593957582,1.1316407435133375,2,Kepler-109 c,0.9745596399981308,2.1041341542702074,3.0550690075753226,859.0,5950.0,0.32714314133269456
0.11522400051221834,-2.445924229003411,0,EPIC 220674823 b,0.6259384308664954,2.0831845279586703,-0.5598723208371741,2115.0,5496.0,-0.005012541823544286
2.024084633274858,-0.07750405338720028,0,CoRoT-23 b,2.4655539212721855,6.791109096862817,1.2895907108864544,1660.0,5900.0,0.4762341789963717
0.7835370241404013,0.8470368349578918,0,Kepler-391 b,0.9162907318741551,7.003065458786462,2.00384207318284,930.0,5038.0,1.0574430116300388
-1.1630613773355574,1.4019622947755912,2,KOI-3503 c,0.1906203596086497,2.337952236831337,3.4603464055152884,686.0,6001.0,0.22713557258374711
-0.4557109753570374,1.8929004405246206,2,NGTS-34 b,1.2947271675944,2.9496883350525844,3.76413881673461,624.0,6134.0,0.3126185577418125
-1.5564077694741225,-0.5423265481851377,1,TOI-1728 b,1.6193882432872684,3.2876553402630266,1.2503343073983764,767.0,3980.0,-0.47112425691443865
-1.611060570256737,0.770641878954952,2,HD 15337 c,0.8712933659434193,2.0930978681273213,2.8436527806707854,642.0,5125.0,-0.15548490284039498
-3.532226182006425,-1.7884940650242869,1,GJ 486 b,0.2538667239570503,1.0188473201992472,0.38330216104759696,696.3,3317.0,-1.1260862656688648
0.8607843488331955,0.28781975107357866,0,K2-113 b,2.344146334204123,6.016158867013969,1.7608891806975362,1178.0,5627.0,0.045928931888399735
2.3638177364333024,0.11470112213802161,0,HATS-58 A b,2.5074713903074226,5.791075450881933,1.439382324125895,1721.0,7175.0,0.3597701488460348
-0.3136167786112702,0.15571943899620203,2,WASP-139 b,2.1935734757247487,3.6159353044560074,1.7790561223013068,910.0,5310.0,-0.2231435513142097
-1.4826533354461462,1.524977948393216,2,TOI-1246 e,1.2568083463380033,2.6741486494265287,3.6356231817135005,463.98,5213.0,-0.14514138566967086
0.1790572466959558,1.4908599783097949,2,TOI-7510 c,2.3893441083098135,4.853437059387434,3.116373443073908,696.0,5820.0,0.01980262729617973
1.4727420394033006,-0.4966652505825538,0,TOI-2714 b,2.6188546222977394,5.429345628954441,0.9160455018077202,1603.0,5665.0,0.22314355131420976
-2.733948735727791,-0.8120227388878513,1,TOI-6894 b,2.2600614953179434,3.977720337010469,1.215141786381403,417.9,3007.0,-1.4801655767299613
-2.8285836291507165,0.03446931722760377,1,K2-3 b,0.7314058926770356,1.631199404215613,2.3080355621634108,501.3,3844.0,-0.6051363032372319
1.4946968353417693,0.21401412727284239,0,TOI-2641 b,2.8960502618538033,4.809593726980825,1.5853447901135234,1387.0,6100.0,0.28968007511445404
2.5018826678822967,0.3017541932784042,0,WASP-136 b,2.7388005262080717,6.173626299467221,1.6516075424855439,1742.0,6260.0,0.7929925155296614
1.491453337537781,-0.0936879563170658,0,HD 209458 b,2.724201726786919,5.390452967249557,1.2584609896100056,1450.0,6052.0,0.1710499367558901
-4.247215886697012,-1.645956191791858,1,L 98-59 b,-0.16251892949777494,-0.916290731874155,0.812313081838987,627.0,3415.0,-1.194022473472768
-2.9781476774470304,-0.17283292666840575,1,TOI-1448 b,1.0112372091831088,2.970414465569701,2.093374648562376,426.0,3412.0,-0.9675840262617056
-1.130611807564695,1.0363760939763889,2,HD 63433 c,0.9902844117824814,2.743352992804597,3.0225605600660015,678.92,5553.0,-0.06827884075329438
-1.567969896663195,-0.7055153099261319,1,TOI-7149 b,2.580216829592325,5.4116460518550396,0.9753373224304043,593.0,3363.0,-1.0469690555162714
2.851248692801949,-0.9039898975726041,0,HATS-67 b,2.9384825908432832,6.133080205072871,0.47572398675864136,2193.0,6594.0,0.3653373170173851
-3.8696119527203523,-2.3268350436370477,1,TOI-6008 b,0.02955880224154443,1.3862943611198906,-0.1538102544452212,707.0,3075.0,-1.4188175528254507
1.4238296029025976,0.20047103629751653,0,WASP-131 b,2.6155678857841234,4.452183328656626,1.6718534942297365,1460.0,6030.0,0.4252677354043441
